Typical Measured Spectrum of Semrock BLP01-532R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
434.6	2.0739e-08
434.8	1.6744e-08
435.0	1.3518e-08
435.2	1.0914e-08
435.4	8.8114e-09
435.6	7.1139e-09
435.8	5.7434e-09
436.0	4.637e-09
436.2	4.5882e-09
436.4	4.5786e-09
436.6	4.569e-09
436.8	4.5594e-09
437.0	4.5499e-09
437.2	4.5403e-09
437.4	4.5308e-09
437.6	4.5213e-09
437.8	4.5118e-09
438.0	4.5024e-09
438.2	4.4929e-09
438.4	4.4835e-09
438.6	4.4741e-09
438.8	4.4647e-09
439.0	4.4554e-09
439.2	4.446e-09
439.4	4.4367e-09
439.6	4.4274e-09
439.8	4.4181e-09
440.0	4.4088e-09
440.2	5.221e-09
440.4	6.6305e-09
440.6	8.4205e-09
440.8	1.0694e-08
441.0	1.3581e-08
441.2	1.7247e-08
441.4	2.1903e-08
441.6	2.7816e-08
441.8	3.5325e-08
442.0	4.4862e-08
442.2	5.6973e-08
442.4	7.2354e-08
442.6	9.1887e-08
442.8	1.1669e-07
443.0	1.482e-07
443.2	1.4958e-07
443.4	1.5097e-07
443.6	1.5237e-07
443.8	1.5379e-07
444.0	1.5523e-07
444.2	1.5667e-07
444.4	1.5813e-07
444.6	1.596e-07
444.8	1.6109e-07
445.0	1.6259e-07
445.2	1.641e-07
445.4	1.6563e-07
445.6	1.6717e-07
445.8	1.6873e-07
446.0	1.703e-07
446.2	1.6871e-07
446.4	1.6698e-07
446.6	1.6526e-07
446.8	1.6356e-07
447.0	1.6188e-07
447.2	1.6021e-07
447.4	1.5857e-07
447.6	1.5693e-07
447.8	1.5532e-07
448.0	1.5372e-07
448.2	1.5214e-07
448.4	1.5058e-07
448.6	1.4903e-07
448.8	1.4749e-07
449.0	1.4598e-07
449.2	1.4448e-07
449.4	1.4299e-07
449.6	1.4152e-07
449.8	1.4006e-07
450.0	1.3862e-07
450.2	1.3995e-07
450.4	1.4243e-07
450.6	1.4496e-07
450.8	1.4754e-07
451.0	1.5016e-07
451.2	1.5282e-07
451.4	1.5554e-07
451.6	1.583e-07
451.8	1.6111e-07
452.0	1.6398e-07
452.2	1.6689e-07
452.4	1.6985e-07
452.6	1.7287e-07
452.8	1.7594e-07
453.0	1.7907e-07
453.2	1.7639e-07
453.4	1.7374e-07
453.6	1.7114e-07
453.8	1.6858e-07
454.0	1.6606e-07
454.2	1.6357e-07
454.4	1.6112e-07
454.6	1.5871e-07
454.8	1.5633e-07
455.0	1.5399e-07
455.2	1.5169e-07
455.4	1.4942e-07
455.6	1.4718e-07
455.8	1.4498e-07
456.0	1.4281e-07
456.2	1.4364e-07
456.4	1.4475e-07
456.6	1.4587e-07
456.8	1.47e-07
457.0	1.4814e-07
457.2	1.4929e-07
457.4	1.5045e-07
457.6	1.5161e-07
457.8	1.5279e-07
458.0	1.5397e-07
458.2	1.5517e-07
458.4	1.5637e-07
458.6	1.5758e-07
458.8	1.5881e-07
459.0	1.6004e-07
459.2	1.6128e-07
459.4	1.6253e-07
459.6	1.6379e-07
459.8	1.6506e-07
460.0	1.6634e-07
460.2	1.7097e-07
460.4	1.7733e-07
460.6	1.8392e-07
460.8	1.9077e-07
461.0	1.9786e-07
461.2	2.0522e-07
461.4	2.1286e-07
461.6	2.2078e-07
461.8	2.2899e-07
462.0	2.3751e-07
462.2	2.4634e-07
462.4	2.5551e-07
462.6	2.6501e-07
462.8	2.7487e-07
463.0	2.8509e-07
463.2	2.8661e-07
463.4	2.8813e-07
463.6	2.8967e-07
463.8	2.9121e-07
464.0	2.9276e-07
464.2	2.9431e-07
464.4	2.9588e-07
464.6	2.9745e-07
464.8	2.9903e-07
465.0	3.0062e-07
465.2	3.0222e-07
465.4	3.0383e-07
465.6	3.0545e-07
465.8	3.0707e-07
466.0	3.087e-07
466.2	3.0596e-07
466.4	3.0299e-07
466.6	3.0005e-07
466.8	2.9714e-07
467.0	2.9425e-07
467.2	2.9139e-07
467.4	2.8857e-07
467.6	2.8576e-07
467.8	2.8299e-07
468.0	2.8024e-07
468.2	2.7752e-07
468.4	2.7483e-07
468.6	2.7216e-07
468.8	2.6952e-07
469.0	2.669e-07
469.2	2.6431e-07
469.4	2.6174e-07
469.6	2.592e-07
469.8	2.5669e-07
470.0	2.5419e-07
470.2	2.5337e-07
470.4	2.5281e-07
